left_leg_angle,right_leg_angle,knee_dist,ankle_dist,ankle_cross,knee_cross,label
90.18,144.68,1.150100190101148,1.4168131175142626,0,1,1
92.65,145.24,1.1442851867205037,1.438695143511217,0,1,1
86.85,144.9,1.1418188926112744,1.4420966526978185,0,1,1
122.72,144.81,1.0955682932502169,1.446327513640606,0,1,1
152.23,144.22,1.0554879477622336,1.4535410502389887,0,1,1
165.54,142.94,1.0553912555094223,1.4734935979709785,0,1,1
171.63,142.95,1.024706168792324,1.4739363249485506,0,1,1
171.8,140.52,0.9502729300504312,1.4595170064633405,0,1,1
159.41,140.55,0.8986392541415942,1.4583780570011946,0,1,1
166.13,140.82,0.9198724076096824,1.4611473356785452,0,1,1
160.82,140.76,0.8870255819935754,1.4661683023416399,0,1,1
159.29,140.57,0.8586874824943501,1.4608342697356556,0,1,1
159.09,140.91,0.8518580015006683,1.4557389384235908,0,1,1
161.26,143.18,0.8951292912952425,1.4613465382988806,0,1,1
167.23,145.38,0.9115706051900639,1.4584559074810701,0,1,1
169.32,144.97,0.8823280775510315,1.4559798178014673,0,1,1
177.79,147.1,0.8884447327840852,1.440963983156033,0,1,1
165.77,150.82,0.9245637965394192,1.4212444226510352,0,1,1
167.93,153.05,0.9114570953790841,1.4145157783295212,0,1,1
175.36,153.04,0.8589042918400241,1.4247292974735646,0,1,1
179.73,154.61,0.8340049178771197,1.4507315806328591,0,1,1
173.55,155.48,0.8144454184283523,1.468538761080046,0,1,1
172.56,155.18,0.809548223888283,1.4820657391942573,0,1,1
169.03,155.94,0.8161352151934494,1.51691752705434,0,1,1
171.64,157.29,0.8744721164148217,1.5297662304966557,0,1,1
174.67,154.94,0.8460756713873573,1.5259188848369558,0,1,1
179.59,154.5,0.8139121302279502,1.5197694993179083,0,1,1
162.5,155.01,0.9308940489639996,1.5259920395177433,0,1,1
144.4,157.5,1.01712785999501,1.5105104832171292,0,1,1
134.65,158.69,1.0539491633362477,1.4808812395025166,0,1,1
133.77,157.64,0.9833907075871129,1.4408602699324387,0,1,1
131.35,156.8,0.9998851386487101,1.3934878807153992,0,1,1
132.8,157.04,1.0014881596617595,1.3659339495976437,0,1,1
132.29,156.67,1.0021291388158555,1.3403492511483124,0,1,1
134.67,156.5,0.9871943280261688,1.3413636835297937,0,1,1
137.11,153.89,0.9770375910118869,1.345581223533979,0,1,1
142.78,152.71,0.9473428541110525,1.3686704172837862,0,1,1
158.14,149.67,0.8677884165067858,1.4025084684807831,0,1,1
176.88,149.84,0.8025513757147286,1.4507022864099834,0,1,1
178.6,151.18,0.8146169236023112,1.4719779990153767,0,1,1
179.15,150.71,0.7779440395139663,1.4814856473500342,0,1,1
179.17,151.11,0.7705123303166871,1.4874044948996321,0,1,1
179.01,151.63,0.7823495593630858,1.4853586091502133,0,1,1
176.48,153.16,0.7973883249002206,1.4966352262876208,0,1,1
176.92,153.71,0.8075701330138111,1.4718080889582257,0,1,1
175.37,155.94,0.8361750523618504,1.4504718195991702,0,1,1
174.8,154.82,0.838625492720544,1.4307987754614533,0,1,1
167.12,153.88,0.8641421290465625,1.4062771584742797,0,1,1
166.87,154.34,0.8683846249254044,1.4090338708179602,0,1,1
167.56,150.0,0.8023783682750343,1.4152650226065322,0,1,1
171.29,147.81,0.7508383568308513,1.4142698095298047,0,1,1
163.06,141.87,0.7381455035163921,1.4343700642107569,0,1,1
166.04,144.34,0.7326372029106516,1.4403031860074897,0,1,1
162.94,144.95,0.7248311769399087,1.4445375211739553,0,1,1
155.75,152.0,0.928002555000384,1.4882837502375756,0,1,1
152.19,149.44,0.8959429877386329,1.4793409665045871,0,1,1
154.57,142.31,0.7452674728109031,1.420250933615198,0,1,1
160.87,135.72,0.6165133033437779,1.4860829323068778,0,0,1
168.31,138.32,0.5894436585956763,1.526861660069815,0,0,1
166.96,141.99,0.5960731172240673,1.4496797637576437,0,0,1
152.94,146.37,0.7274314656166548,1.447563793638289,0,1,1
158.4,133.86,0.6553442157539614,1.4112842983125644,0,1,1
170.9,133.09,0.6484747641114066,1.5096208297683156,0,1,1
163.27,134.56,0.5604054160850535,1.5500256183217096,0,0,1
161.18,132.98,0.7099082709336841,1.818728530980302,0,1,1
126.03,126.14,0.6976323297581585,1.729064463464022,0,0,1
